Label,Text
unknown_state,Kerala police friends undel ivide kodu oru like......
unknown_state,Good will uplaod aakitum. Why view koravu?
Positive,Movide peru kandu dislike adikaan vannatha
Positive,Trailer superrrrr ikka pwolikkum padam oru action thriller blockbuster ayirikkum
unknown_state,Polikkum mammukkante pattalam movie orth poyath njaan maatramaano..??
not-malayalam,all the best unda movie and mammookka from all kerala kunjako boban fans
Positive,Ithu Vera levelakum urappa..... Ela ikka fansinum all best....
unknown_state,Ethh avvo enn avvo padam eraguma kanna
unknown_state,policinte kayilulla pottasu thokku kondu bheekaravadhikale kollan pattila athinu Nammude Pattaalam Thanne venam
Negative,Pattuna paniku poyapore ika... oru nalla story anu nghalu nashipikanathu
unknown_state,Trailer ne like adichu kalipp theeratha ikka fans keri intrest kodukku....
Mixed_feelings,Trailer oru spark aakunnilla.... But still waiting .....
Positive,Ithu oru onnu onnara unda aayirikum
Positive,Kore naalk shesham ikkante padam kananam enn thonnath ee trailer kandapola...ith polikum...
Positive,All the best ikka.... Oru ettan fan
Positive,Oru lalettan fan aaya njan polum like adichu poyi.... sprb
Positive,Orupadu ishtayi..... Nalla oru cinema pratheekshikunnu.... Ellrm kidu ane...
unknown_state,Arjun ashokine kannddappol sherikkumulla policanennu thonniyavar adi like
Negative,Thalli thalli kure ayallo oru padamenkilum vijayippichu kanikku kidannu thalli marikkathe
Negative,Failure anu nalla mammokka movie kandu varashangal ayi....
Positive,njan oru katta ettan fan pakshe ikkayude ee unda pollikkum
Negative,Mammokayude unda varunnu an kaliyakiyavar kedo.....unda verum undayala thokkil vediunda yamanasilaya  mammookaye kaliyakunnavare
Positive,Trailer ishtapettu like ittitundu .  . . .  .june 14 kanam    . .
Positive,Engane ulla filims venamm..kooduthal mass onnum venda... Simple but powerfull..
Positive,Inganathe oru padathin vendi aayirunnu kaathiripp...avanteyokke.. friendshipum..romanceum...chaliyum..masalayum.. kand maduth
unknown_state,Ith kollaaaam....kanda ooodayp trailer ne kalum ok far better...hiy avanee daiwamee...thall kuranj
Positive,super trailer...ithinu enthinaanu makkale dislike...nallathine angeekarikku...
Positive,This is interesting.....ikka polikku ikka.....all the best from Lalettan Fans
Positive,Mohanlal fansinte full spprt ikka pwlichadukk .
Positive,Unda ennu peru ketapole kaliyakiyanmarodu onne parayanullu...ee padam pwolikum
not-malayalam,Im from us army i like mammukka action
Positive,Kidu trailer oru rakshem illa katta waiting
Positive,Rahumanaaa ne polikkadaaa... My dear class mate
Negative,Aayea.... ithu oru unda aavolo.... boar ....
Positive,Jeevithavumaayi bandapett kidakkunna movie aayathu kond trailer kaanumbol vallatha oru santhosham battalion police kaarude real life aanu parayunnath
Negative,Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil
Positive,Adipoli... Kidu kidu kidu... First day first show... #mammookka
Positive,Njan oru lalettan fan .Pakshe ikkayku oru blockbuster padam ashamsikkunnu
Positive,Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...
unknown_state,Eee cheenja slr thokk vech aana ivar pokune
Positive,Supper Mamooka Mamooka Pakaram Mamooka Mathram
Positive,Ithe ikka polikkum ne thonane. Laletten fansinte vaka ore all the best
not-malayalam,SLR pubg boys like  here
Positive,Njan oru katta ettan fan Annu enkilum....ithu polikum
not-malayalam,We have SLR gun  Slr -marksman rifle        Bullet-7.62 8x supported  Pubg daaa
Positive,Kidilam theme  Padam theatril kandrikum #lalettan fan
Positive,sathyam parayalow kaNubol ente police traing kalam ormavarunu
Positive,Unda enna peru kettapo
Positive,Mammookyde oru padavum fdfs kndttla.. ith FDFS locked
Positive,Maoist alla Maoistnte apanae varee  nammal  putikum all the best mammoka  & unda movie team
Positive,Age in reverse gear.. Ennu parayunnath verthe alla ikkaa..
unknown_state,Fairman oorma vannath enikk matramano
Negative,Ithinu dislike cheythathu maoistukalum lalettan fansum arikum
Positive,kure naalu koodiya oru mammookka trailer kaandu santhosham thonunnathu.
Positive,Best wishes mammookka&team. Van vijayam aakkatte enn prathikkunnu
Positive,Padam vere level.. feel tharunnu ee trailer
Positive,Mammooka polikum asifikka yude oru guast roll ഉണ്ട് athinum katta waiting
Positive,Ithihasa nadanmaril ninnu ithu polathe movies aanu pratheekshikunnathu
Negative,Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane
unknown_state,Poka pattiya trailer padavum inganayal nallath
Positive,hoo mammokka police vesham aaha anthas
Positive,Ithanu njngak ishtamm olla mammooka..padam hit avatte..from an ettan fan
unknown_state,0:48 nammude Pubg SLR nu vendi oru like ADI
Positive,Movie kaboor ayerikkum ikka alle actor
unknown_state,One million nu ini kurachoode...
Positive,Ikkaa fansinu hridhayathil sookshikkan.... Hatersinte annaakkil kodukkan... 2num pattiya item thanne aanu ith...
Positive,Katta waiting aanu makkale june 16th DERICK ABRAHAM entry
Positive,heavy mass
Mixed_feelings,bgm korachoode nannaakkayirunnu..fan made bgm poley.....
Positive,oru raksheille...mammooka love u...boom boom bgm
Positive,box office nte kaaryathil oru theerumaanamaaay
Positive,Mass enn paranja pora marana mass
Mixed_feelings,Ethu santhathikal vannalum. Pulimurugante thattu thanu  thanne irikkum
unknown_state,mammokka thug life mashup
not-malayalam,Swag that  mass ka baap ! Mega
not-malayalam,Look like a Hollywood movie ......
Positive,supr ikka powli ..... padam supr arikkim urappaa.... ikka lve u ....
unknown_state,Ippo ivide  vannu repeat adichu kanunnavarkku like cheyanulla sthalam
unknown_state,Crossed neeralee viewers within 1 day
Positive,Woah!!kidu TrailerMammukkaaThis Eid z awesome
Positive,katta waiting ..from a katta ettan fan
Negative,E trailornu unlike adicha ella oolakalkum
Positive,malayalikalude rakthathil alinja peru...mamukaaa....ith polikkum..Mega Mass Movie from One and Only Megastar..
Positive,Ikkaa...  nigalu mass aanu...  pinnem pinnem irunna kanan thonnuvaa....
unknown_state,Memories + D16 + Great Father + Ganster :P
unknown_state,David nainan viramikan ulla samayayi makkale...varunnath avante appan aait varu
Positive,#JUNE 16  #KATTA #WAITING #DERICK ABRAHAM
not-malayalam,#USE #HEADPHONE #FOR #BETTER QUALITY OF #BGM #GOPIYETTAN
Positive,Nt ikka ingalu verm ikka allatto ponnikkaya  #romanjified
Negative,Aanoruthan thokkum pidich irangiya neerali alla Avante appan vare padikkum...alla pinne..ikka fans hit like
Negative,Ith kerala kkaraye ilakki marikkan irangunna padam...Ini theatre poorapparamb aavunnath kanich tharam..nee kandathonnumalla kettoda..
Positive,Romaanja kanjuka kunjukamaay... The BOss Of MollYwooD....
Negative,Mohan Lal ayirunnenkil super ayene ..ithu chapli ayi poyi...
Positive,vandiyil vanu iragana scene oru reshayam illaa  bgm
Positive,trailer kanditu ithenkilum pwoliyillannu thonnunu..   nb:- njan oru katta #mohalal fan aanu
Positive,face kanikkathe mass kanikkanamengil ikkakke sadhikku
Positive,bgm kollam greater father ila villianila poola
Positive,Ninga polik ikka namma undu koode......alla pinne..
not-malayalam,WE ARE WAITING FOR DERIC ABRAHAM
Negative,Ee dislike addikunnvarode .....onnum paryaanilla.....naldukandal aghikarikaan padikk
not-malayalam,Mazz ikka  mazz bgm  Katta waiting  I am waiting.......
Positive,Ntikkaa ingal age 67 aano atho......off myaarakam...ummmaaah
Positive,Theaterukal origiko June 16 house full perumazayayirikum
unknown_state,Big B 2aano ettu kanditu atakana vari
Positive,Oo ikkkaa polichu enikk uraappaa 100cr ethavum maasssyaaa trailer oru raksyumillaaa ikkaa
Positive,Ithilum mikacha trailer swapnangalil mathram
Positive,Ikka ethu lookil vannalum polichadukkum
Negative,Pooran mamooty
unknown_state,Moving to 700K views & 50K Likes
unknown_state,like  mammmukkka  fans frm  mangalore
Positive,Njn epo 100 vattam kandu ningalo?
Positive,ikka ningal enthina ingane njangale romanjam kollikane
not-malayalam,@FURA.  u Rockit Man.  KASARAGOD
Mixed_feelings,Chila undertaker toon aduku manakunondu  sradhichu kakanaam
unknown_state,Supr team mammookka from team ettan
not-malayalam,Let's go guys. Break 1M views& 50K likes& 5K cmnts in 24 hrs
Positive,Ikkayude aaa varavu kandittu box office theernnanna thonnunne
unknown_state,IKKADE Aniyanmar pani tudangi makkale....  neerali 24 Dayz 23K like #Abtsntikl 14 Hours 43K lyk
not-malayalam,Any tamil mammoty fans? like here
Negative,Flop padam and copy sundars music itu orappayitum oola padama
unknown_state,Tgf
Positive,Spr     ikkkkkaaaaaa
Positive,Oru raksha illa ikka marana mass
Positive,Heavy Waiting
Positive,naale release aakane patto veyya wait cheyyan
Positive,Haneef adeni  Ninakevdunna mone ijjathi kolakolly items kitenne Vere level
unknown_state,1 view = 100 like 100 view = 10000 like 10000 view = 1000000 like
Positive,ee pulli great father inte grand father aaayi varum....kolakolli item
Positive,Padachooone....BGM..kett vaaa polich poyath njn mathram aaahno.?
Positive,Inganethe massinde koode aa mukhavum kanichal kidukkum
Positive,Ethu Pwolikum  Mammookha  BGM Verai level
Positive,Nanippa ethra vattayi ith kananath enta ikka mass kanikkan ikkana kayinnale Vera alollu
unknown_state,Njan maathramano comment nu like  kittiyo enn veendum veendum nokkunnath
unknown_state,Ithu oru thivasam konde 1m adikum
Positive,Supperb ikka pwolichuu..ikkaa swoth baaki ellaam myr
Positive,Eee eid ikka ang edutthu ennu paranjekk
Positive,Ikka   pwolikkum   bgm pwolichu
Positive,Enna.....or kidilan bgn aanu.. ith polikkum
Negative,Kuru pottikkan aarum varanda...ith vere level aan makkale
unknown_state,Bilal John kurishingal nte Eratta sahodhran
Positive,IKKA PWOLI BGM oru rakshayum illa
Positive,june 16nu Oru addar item varunnund  Derick Abraham
Positive,entammo english trailer kaanunna feel.. ith polikkum
Mixed_feelings,Bgm oru rakshaym ilaa. Eppolm mammokaye kateelalo
Negative,Koora Trailer iyalkku ee pani nirthi pokkode
unknown_state,Neerali lifetime views...  800K V 29K likes 1.9 K cmnts
Positive,Trailer ennoke paranja ethanu ..ente ponn hari anna ethonn onn eduth kaanu
Positive,New 100cr malayalam move. Ikka massss
Positive,mass aaan ikka ninga vere level aan
unknown_state,Oru reksheyum illa 200 Kodi club ill kerum ennu orappolavar like adi
Positive,bilalainu david nainanu undaya nalla kolakolli item
not-malayalam,Gopi Sundar and ikka fan from malappuram
Positive,Adipoli ikka... Kolakolliaittam nnparanjappo ethrapradeekshichilla sooooper
Positive,Kiduveeee....kidilosky. .onnum parayanilla...adipwoli Hollywood touch...bgm ente ponnoooo...ikka fans vann pwolikkada
Positive,Malayala cinema record thkarkan varunuu athiradi mass movie abrhaminte santhathikal
unknown_state,Ithilum bhayankara suspense aayi Mammukka police aayirikuo
Positive,Hollywood level mass ithanu makkale trailer
Mixed_feelings,Trailer kidu kidu pakshe movie athippol kandariyaam
unknown_state,Malayala cinema yude gathi maarunathu chilar ariyunillaa.....
Positive,0:32 repeat mode.... Swag...mammookka... Vere level bgm....vere level trailer.... Fdfs....sure
Positive,Gopi annan  Namichu   Kidukkachi bgm  Kidukki
Positive,kidu  katta waiting    mamamookkaaaa
Positive,Asoooya thonua ikka...  Ikkka nigalu Maass aanu
Positive,Lalettan itra look il ee aduthengum kanditilla
unknown_state,Hindukalk Ivan mahiravanan Islaminu Ivan ibilis ennu parayum Christianikalkidayil ivanu oru pere ullu LUCIFER... Goosebumps....
Negative,Swondham appane kandal adikunnavanmara ithinoke dislike adikunne. Adichondu avide irikathe ullu. Ivide ettanm pillerum stronga dbl strong
unknown_state,Tovino yil oru villain mannakunathu enk mathramano?
Mixed_feelings,Trailer...kozhapila.....cinemayum nallatai vernam....pritvirajine viswasam Anu....but murali gopy story ayond Oru pedi
Negative,Dislike adichu de grade cheyyamennathu mohamalla setanmare..vyamoham
Mixed_feelings,Ith orumathiri thelungu padam pole undallo
Negative,Lucifer lostfer aavandirunna mathiyayirunnu .kandittu adutha floapinulla sakalathum kaanunnundu
Positive,Shooooo....9 manikku kaanan thodangiyadhaa....12:30 aayi....ethra vattam kandu ennadhinum kanakkilaa....nirthaan pattunilalo.....oru katta Mohanlal prithviraj aaradhakande rodhanam!!!!!
Positive,212k views
Positive,Ee role cheyan Lalettan mathrame pattu!
Mixed_feelings,Ithu pradheekshikuna ....pole avilla ...padam avarage ...
Negative,Dislike kunnamare olupundel poi kettithugi chavda pannikale
Negative,Dislike adichavarkk ente vaka naduviral namskaaram
Mixed_feelings,Murali Gopi script oru bhayam...munp cheyta padanglellam....
not-malayalam,I'm proud to be I'm a prithviraj fan. I'm from tamilnadu ne va thala
unknown_state,1:34 BG il blur aayt nikuna aal prithvi aayt thonyath nik mathranoo?
Negative,within 3hrs- 212k views
Positive,Mr. Pritviraj ithaano simple cinema???? Ente romam ippozhum eneettu nilkkuva
Mixed_feelings,Rajamanikyam alpam international aakiyal lucifer pole irikkum.... enne pidichu mammoookka fan aaakaruthu.. veruthe onnu thoni athre ullu
Negative,ade maireada dislike adichirikkunde plastic fans ayirikkum
Negative,Nalla assal moonjjal thank you lola
Mixed_feelings,Dialogil kallanmaar ennathinu pakaram chekkuthaanmaar ennakiyirunnenkil kurachu koodi nannayirunnene ennu enikku mathram aano thonniyathu
Negative,Dislike adicha guhanolikalkk...നടു വിരൽ നമസ്കാരം
unknown_state,212k views
Positive,Rajayod thalkalam varendenn paranjek...Stephen kalippilanu.katta kalippil.oru rakshayumilla..polich ponnu
Positive,Addddiiiiipolliiiii.....marana masss.....oru sakshem illa....lalettande kidu look.....
Negative,20k dislike adichavan okke ethu guhayil irikkuvano entho
Positive,Ooh!! Mass ennoke paranjal para masss... Lalettan kiii
Negative,Ethine dislike adicha nainte makkal eatgaaa
Positive,lalettan rocks  thanks rajuetta  LUCIFER loading
Mixed_feelings,Trailer superb but odiyanum inganaarnnu
Positive,Lalettan Masss Lalettan ki jaiii
Positive,Njan mathramano e trailer onnil adhikam thavana kandath
not-malayalam,trailer super.padam kandipa 100 days tha. wish you all the best debut director Prithviraj Sukumaran
Positive,Lalettan ishttam.. Rajuettan ishttam!! Murali Gopi's script
unknown_state,200k like ayo ennu nakkan vannar like
unknown_state,192 k views 198 k like         Adipoli ba poka..
Mixed_feelings,iragiya padagal 5 yenam aavereginum thaye ith super hitagum
Negative,Dislike adicha thayolikal etha vaaaa...ithu polorennam kandittu dislike adikkan thonniyallo
Positive,Rajuvettan mass ...lalettan kola mass  Ndhaa parayaa lleaa njan onnoode kandechum varaam....
Positive,Sreekumar avila prithiraj ennulla viswasam und .... So all best u guys
unknown_state,Hmm ippo ethum trending listil !!!
unknown_state,Njan matramanoo trailer il prithviraj ne kandanthu. . . .  Kandavar like adiche..
Positive,Entammo..... Kidu item. Oru rakshem illa.
Positive,Mohanlalinte ee film engilum hit aayal matiyaarinnu...maduthu odiyente kuttam keettu keetee... Kaata lalaetta fan adi like
Negative,Arenkilum poi aa  srreeeekumaarane onnu vilich kaanich kodukkedoo  entha  etha  cinemannu  .....&&&&@@@
unknown_state,192K views....197k likes
Positive,Mass trailer... Lalettaaaaa oru rakshayumilla. Pwolichu... Lalettan muthaanu... Prithvi sarikum njettichu. Lalettan+prithvi=Lucifer(blockbuster )... Lalettan ishtam
Positive,mollywood industrik oru otta pere ullu MOHANLAL
not-malayalam,192k viewers 194k like how it is possible! 
not-malayalam,192 k viws 196 k like
Negative,Madhuramilatha raja ettadi mari ith item vereya LUCIFER
not-malayalam,All the best Lalettan and rajuettan from all Kerala allu arjun fans.
unknown_state,Vivek obreoi sound nalla paraichaya arudey sounda aryo arkengilum
unknown_state,50 parku  vila  ellaa
unknown_state,Sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu
Positive,192K Views
Positive,Trailer pole naalla story undayal mathiyarinu
Positive,192k views and 196k likes masmarikam
Positive,Oru kgf trailer polee.. Lalettan pakkaa massss
Positive,Film hitayalum floppayalum trailerinirikate oru kuthirappavan
unknown_state,2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 Lucifer any guess???
Positive,Oru rekshayum illa...kidilam kannu nananjupoyi
Positive,Kolakolli enoke paranjaa ithaanu.. Repeat mode ini on thanne aayirikkum...
Positive,lalettan Polichu adukki oru rakshyum Illaa
Positive,Kandittum kandittum mathiyavanilladoooo.... Endutta mothal ithu....  Devil rules  Stephen nedumballi rules  Ettan rulesssss 
unknown_state,Ithinu 1million anenn paranjitt 192k analo
unknown_state,190k views 195k like poli thanne YouTube ilum tallu tudangiyiale
Mixed_feelings,Trailer kollam but movie flopp aavum
not-malayalam,503k for  madura raja  teaser
Positive,Trailer repeat kandukondirikkan thonnum.. LALETTAN.. ISHTAM
Negative,Daivam oroon kond varum... Ennit pottipoliyum... Verute collection kittan vendiii advertisement
Mixed_feelings,E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best
Positive,Sathyathil abhinandanagal ariyikkendathu Prithvirajinanu. Thakarthu kalanjallo muthu
not-malayalam,192k views and 192k likes
Negative,Sreekumara menone naari nee ithonnu kaanu
unknown_state,Only 192k views... (11 pm) പക്ഷെ 190k like... 19k  dislike... ഇത് എങ്ങനെ...... 150k like paid അല്ലെ
Positive,Marana mass kettitellu. Eppam kandu.  Prithi & lalettan combo polikuumm
Positive,Election time l kanan pattya film
Negative,Athu ___ Makkladaa ee jathi iteamsoka dislike cheyyunaaa.... Raju vs Lalu...
not-malayalam,192K views
Mixed_feelings,avasanam kanjipole aavathirunal mathi all the best
Negative,Dislike count kootan budhimuttuna chila aalukal
Positive,Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla
unknown_state,192k viewsil 191k like 19k deslike ith engane
Negative,Oru pandi padathinte trailer innu irangiyitundu...kandavar onnu parayane..avide ellaam thribilaa
Negative,Nairmare vendannu paranja Kallamark kanich koduk ...Nairmarude karuth...lalettan and prithivi...tholpikkanam ee electinu....
unknown_state,Vineeth aano Vivek oberoi dubbing.
Positive,As a mammokka fan trailer kidukki padam nalla oru vijayamayi theeratte
Positive,annaa njagal katta waiting aanu abudhabi dalma mallil... annanem pillarem kanan...
Positive,Adipowli trailor rajuvetta ettane powerful eyes ela seenillum
unknown_state,oru addaar... Trailer oru addaar...Film oru addaar...Hero oru addaar...Director oru addaar...Script
Mixed_feelings,Last BGM polichuuuuu. പക്ഷേ ഈ വിഷു ikkade കൈയില്‍ ആണ്‌. Ikkadaaaaaaaa
not-malayalam,192k views.. 190k likes.. 19k dislikes..
Positive,Star cast ile N F Varghese sir inne undayirunangile lalettanta kudey poliche adukiyene lucifer movieyile
Negative,Maduraraja 4hrs 96likes & 9k comments....Lucifer 2hrs 189likes & 12k comments...ettanodum pillerodum muttan varrale...mohanlalwood
unknown_state,ഈ movie suppar hit akum എന്ന് ഉള്ളവർ like here
Positive,King is oll ways king   ഏട്ടൻ ഇഷ്ട്ടം
Negative,Manju varrier mathrame ulluvo actresss ayi kollilla
unknown_state,4 million aayonn nokkan vannavar like adikk
not-malayalam,Katta waiting Maamangam & mammooka performance also
not-malayalam,Nov 21 pakkalaam intha kaaliyude aattathe
Positive,Mammookka fight ohh romam ezhunetu nililkkum
Positive,Enthayalum Nov 21 nu thanne kananam
unknown_state,Hindi Tamil Telugu trailerinu wait cheyyunnavar arokke?
not-malayalam,Which trailer you like more.  1. #Mamangam  2. #Panipat
Positive,Veendum veendum kanunna ore oru trailer Mamangam
Positive,Ethra kandalum oru madukunilla ee trailer
unknown_state,Kalath chaya kudikkunnathinu munpu trailer nokiyavar arokke?
unknown_state,Mammookka  unni mukundan  achuthan
Positive,Mamangam keralam kanda ettavum valliya hit akkum
unknown_state,Ellaaa ikka fansum support cheyuthaaal trailer no:1 akkaaam
unknown_state,story writer sajeve pilla yude name  ethilonnum evideyum kaanunillallo..
not-malayalam,Waiting     8
Positive,Waiting  3pravashyam  kanum  releaseday
not-malayalam,Once A king always a king
unknown_state,Views nokkaaan edakk edakk vannu nokkunavar like
not-malayalam,day no. 6 still Trending on 1
Positive,Mamangam ikka ithre vendu katta waiting
Positive,Entamooo  veendum veendum kanan thonanuuuu
unknown_state,Veendu veendum kaanunnavar like adi
not-malayalam,Trending for 4 days
unknown_state,Innum 5 thavana kandath njan mathramano
unknown_state,Ettavum kooduthal like kittiya comment akkanam ithu
not-malayalam,Still trending no. 1 after 4days
Negative,Nalla oombiya trailer.. Mammootty kilavane kayaril ketti pokkunnathu kanan ente patti pokum...
not-malayalam,Mamanga maha makamstarting this Nov 21st
Positive,Ippozhum #1 trending   Ikka enna summava
unknown_state,Telugu
Positive,Ethra kandalum veendum kanan thonunna trailer.
unknown_state,Eee trailer trendingil thanne nilkanam. Orupadu alukalilek ee trailer ethicheranam
unknown_state,Trailor angott kluch pidikunilla ellavarum support cheyyu
Positive,Ee trailer Anu ippo most comments olla Malayalam trailer
not-malayalam,Superb trailer I have ever seen.
Positive,ഇത് #Mega star ന്റെ #mega mamangam#
unknown_state,Fans show ticket kittiyar like adik !!!!
Positive,Unni mukundante courier maatan povunna movie aarikum mamankam
Positive,Mammootty enna name thanne mathi charithra cinimakal poyi kaanan
Positive,Kandittum kandittum  mathiyavunnilla  uff ijjathi item  #mamangam #mammookka
Positive,Indhrans fansinte ellaa aashamsakalum supportum!!! Pwolikku makkale!!!!!
unknown_state,Ennem koode kootumooo nannayi abhinayikkam
unknown_state,veendum veendum kooduthal praavashyam kaanunnavar undoo?
unknown_state,Ennum  vannu 5 pravsyam kanuvar ivde vaaa
unknown_state,Mamookkakk abhinayam ariyilla enn paranjal adhyam chirikkunnavar ivide like...
Positive,Ethra vattam kandu ennu areela
not-malayalam,Still in Trending #1.... Mamangam... Ikkaa.. We r waiting ....
Positive,Ethu puthu charitharam.
unknown_state,5 million views aavum ennu urappullavar like
not-malayalam,Mamangam is November   21.  Waiting
Positive,Ippol thanne ethra pravashyam Kandu ennu enikkariyilla
Positive,Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu
Positive,Oru divasasam oru 10 pravashyamenkilum kanum
not-malayalam,Still trending #1 on 4 days
unknown_state,Nammade trailer iniyum reach aakaan undu. Maximum time kanuka. Maximum iniyum Share cheyyuka
unknown_state,Mammookka Fans Repeat adichu Video kaanu
not-malayalam,Waiting for Mamaaankam Days
Negative,To be very frank
not-malayalam,Great film from mega star Mammookka
unknown_state,Mammootty  Unni Mukundan  Prachi Tehlan  Siddique  Achuthan Anusitara Iniya Kaniha Tarun Arora Suresh krishna  Manikuttan Sudev nair Manikandan
Positive,#mammookka    aa peru m
Positive,immathiri item ellam abhrapaliyil kananamenkil innum ee arupathiyettukaran orungiyiranganamennathu enthoru virodhabhasamanu #proudofyou mammookka
not-malayalam,woow mammopokka ! proud of you mollywoods king ikkaa...........!
Negative,Ithinum dislike adikkunnavar enth kanditta enne ariyilla..
unknown_state,prachitehlan uffff.......................songil kandu kaliyakkiyavarkokke yulla marupadiyayirikkunnu ee trailer
unknown_state,unniyude mamangam ennum paranju karanjondu nadannavarude annakkiladichu kodutha mammookka
Positive,mammookka uff ijjathy trailer..romanjam mathram !
Positive,ingeru karanam abhimanikkam oroo malayalikkum
Positive,mammookkaye ee traileril kandu njettattavar aarum undavilla !
Positive,malayala sinimakkoru puthiya charithram pirakkatte !
Positive,aadhyamayittanu oru nmalayala sinimayude trailer ithrayum dhivasam trendingil nilkkunnath !
unknown_state,Cast\r Mammootty \r Unni Mukundan \r Prachi Tehlan \r Siddique \r Achuthan\r Anusitara\r Iniya\r Kaniha\r Tarun Arora\r Suresh krishna \r Manikuttan\r Sudev nair\r Manikandan
not-malayalam,Mammukka  :40 bgm feel like  kathi
unknown_state,November 6 num vann nookunnavar undo
Positive,Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..
not-malayalam,Trending Trending Trending.........  Mamangam goes on viral
unknown_state,Trailer kandavar thanne veendum kure kande treding il nilanirthan sremikunnu..ennal views keyarunnum ella..etheppo madhuraraja kke kittiya views polum ella
Positive,Idivett trailer . Mammukka ennum njangalde swantham
unknown_state,Ravile eneet trailer kanan vannavar ndo....
unknown_state,Trailer last seen onnu oorthu vecho
unknown_state,Ippozhum repeated kaanunna ikka fans ndo
unknown_state,Lalettan & Ikka Ki Jaiii....... Frdzzz... Fishing Videos or Tech. Thalparyam ullavar nammude chanel sandharshikuka...
Positive,veendum veendum kandu addict aayi poi
not-malayalam,Bahubali - Prabhas   KGF - Yash  Now  Mamangam - Mammootty
Positive,idum kuudi 37 aamathe repeat adi
Negative,Trailer undakiyarithi valare mosham ann. Ith kanumbol enik oru feelum vannilla.
Positive,Krithyamayi paranjal 30amathe thavana aan trailer kanunnath.
not-malayalam,THE FACE OF INDIAN CINEMA Megastar Mammooka
Positive,Onnum venda ....ikkade aaa sound ....oh enjadhi basss
not-malayalam,Waiting  Mamangam  Nov 21
Negative,Eatho Kure eannangal dislike... Anganeyum Kure eannangal
Positive,Katta Waiting ikka  Mamangam  Nov 21 FDFS
not-malayalam,MollyWood going to another level ... Mamangam
not-malayalam,Nov 21 will gonna change Mollywood fate
not-malayalam,3 millon views 208 k likes
Positive,Pazhassiraja sharathkumar polichath pole mamankam unnimukundanum polichadukkatte.... Fit body yaar
